Time,Bbr_1_Bps,Bbr_2_Bps,Bbr_1_PktLoss,Bbr_2_PktLoss,Bbr_1_Cwnd,Bbr_2_Cwnd,JainsFairnessIndex
17.5,735000,525000,114,130,86394,167186,0.972973
17.6,675000,570000,116,130,84761,167186,0.992937
17.7,690000,555000,115,131,84761,167186,0.988379
17.8,675000,570000,116,131,84761,167186,0.992937
17.9,690000,570000,118,132,87464,168973,0.991011
18,690000,555000,113,133,84568,168973,0.988379
18.1,645000,600000,115,135,84568,171869,0.998695
18.2,675000,570000,116,146,84568,171869,0.992937
18.3,615000,633960,120,134,87464,170930,0.99977
18.4,705000,544800,110,123,84568,174378,0.983835
18.5,720000,525000,113,128,84568,174378,0.976056
18.6,705000,555000,115,131,84568,174378,0.986026
18.7,675000,570000,116,133,84568,174378,0.992937
18.8,675000,570000,114,135,81691,174378,0.992937
18.9,645000,600000,116,135,81691,174378,0.998695
19,660000,585000,112,136,79929,174378,0.996384
19.1,630000,630000,113,135,79929,176555,1
19.2,645000,600000,115,135,82825,176555,0.998695
19.3,645000,600000,110,144,79929,179451,0.998695
19.4,600000,645000,114,149,79929,176555,0.998695
19.5,660000,598120,113,126,79929,180405,0.997587
19.6,705000,540120,111,126,82825,180405,0.982767
19.7,720000,525000,106,132,79929,180405,0.976056
19.8,615000,630000,112,131,79929,180405,0.999855
19.9,675000,585000,113,133,79929,180405,0.994924
20,645000,600000,112,135,79593,180405,0.998695
20.1,645000,600000,111,136,79593,180405,0.998695
20.2,615000,630000,113,135,79593,180405,0.999855
20.3,630000,615000,113,137,79593,182563,0.999855
20.4,645000,604000,112,136,79593,182563,0.998924
20.5,630000,630000,115,148,82489,185459,1
20.6,630000,607280,110,145,79593,182563,0.999663
20.7,615000,636120,112,122,79593,182563,0.999715
20.8,705000,540000,111,118,79593,5792,0.982739
20.9,705000,555000,97,81,5792,5792,0.986026
21,465000,75000,70,79,5792,5792,0.657201
21.1,105000,45000,71,76,5792,5792,0.862069
21.2,75000,60000,83,76,81624,5792,0.987805
21.3,720000,0,83,93,81624,182515,0.5
21.4,690000,405000,85,108,81624,182515,0.936555
21.5,675000,570000,94,112,84520,182515,0.992937
21.6,660000,585000,93,115,85530,182515,0.996384
21.7,675000,585000,98,118,85530,182515,0.994924
21.8,690000,555000,103,122,85530,182075,0.988379
21.9,675000,570000,108,126,88426,182075,0.992937
22,690000,555000,113,132,85530,184971,0.988379
22.1,675000,570000,117,143,85530,184971,0.992937
22.2,630000,630000,118,138,85530,182075,1
22.3,675000,562480,118,125,85530,182787,0.9918
22.4,735000,525000,116,132,85530,182787,0.972973
22.5,690000,555000,113,137,85530,182787,0.988379
22.6,630000,615000,117,141,85530,182787,0.999855
22.7,660000,593720,117,144,85530,182787,0.997213
22.8,645000,597320,117,152,86018,182787,0.998529
22.9,645000,607120,111,148,83122,182787,0.999086
23,615000,637200,116,144,83122,182787,0.999686
23.1,660000,588040,115,144,83122,182787,0.996687
23.2,630000,606200,116,145,83122,185683,0.999629
23.3,645000,602840,115,153,83122,185683,0.99886
23.4,645000,607200,110,135,74984,182851,0.99909
23.5,630000,618760,108,124,74984,182851,0.999919
23.6,690000,555000,106,129,74984,182851,0.988379
23.7,645000,615000,109,130,77880,182851,0.999433
23.8,660000,585000,102,132,75915,175682,0.996384
23.9,585000,660000,108,128,76430,179319,0.996384
24,660000,585000,108,130,76430,180339,0.996384
24.1,645000,600000,110,131,76430,180339,0.998695
24.2,660000,600000,108,133,76430,180339,0.997738
24.3,615000,630000,108,132,76914,180339,0.999855
24.4,630000,615000,111,140,76914,183235,0.999855
24.5,630000,615000,112,147,76914,180339,0.999855
24.6,630000,626520,113,127,79810,184499,0.999992
24.7,690000,555120,103,127,76914,184499,0.988401
24.8,630000,615000,106,128,76914,184499,0.999855
24.9,645000,600000,108,130,76914,184499,0.998695
25,645000,615000,110,131,76914,184075,0.999433
25.1,645000,600000,109,134,76914,184075,0.998695
25.2,630000,615000,109,135,76914,184075,0.999855
25.3,615000,630000,112,138,76914,184075,0.999855
25.4,645000,607600,111,136,76914,184075,0.999109
25.5,615000,630000,114,142,79810,187315,0.999855
25.6,645000,605200,106,154,76217,187315,0.998988
25.7,570000,684120,111,137,76217,184419,0.991788
25.8,645000,592040,110,121,76217,184419,0.99817
25.9,720000,540000,106,128,76217,184419,0.98
26,660000,585000,107,131,76217,184419,0.996384
26.1,630000,615000,107,132,78350,184419,0.999855
26.2,630000,615000,111,133,78350,184419,0.999855
26.3,660000,600000,111,135,78350,184419,0.997738
26.4,630000,615000,114,138,81246,184419,0.999855
26.5,645000,600000,108,146,78350,184419,0.998695
26.6,585000,665760,112,142,78350,184419,0.995848
26.7,645000,605280,113,140,78350,187315,0.998992
26.8,630000,615000,113,153,78350,187315,0.999855
26.9,630000,614680,109,134,78350,184419,0.999849
27,645000,611880,110,124,78350,184419,0.999306
27.1,705000,540000,109,130,78350,183723,0.982739
27.2,660000,585000,111,133,78350,183723,0.996384
27.3,645000,600000,114,135,81246,183479,0.998695
27.4,645000,600000,108,138,77639,183479,0.998695
27.5,600000,660000,111,141,77639,183479,0.997738
27.6,645000,605760,111,138,77639,183479,0.999017
27.7,630000,617960,111,139,77639,183831,0.999907
27.8,615000,629680,109,146,77639,183831,0.999861
27.9,600000,639280,112,148,77639,186727,0.998996
28,630000,618520,112,146,77639,183831,0.999915
28.1,630000,627480,112,124,77639,184255,0.999996
28.2,690000,551440,113,128,80535,184255,0.987696
28.3,705000,540000,103,134,77639,184255,0.982739
28.4,585000,675000,110,131,78593,184255,0.994924
28.5,660000,585000,112,134,78593,184255,0.996384
28.6,645000,600000,113,136,81489,184347,0.998695
28.7,630000,615000,110,142,78593,184347,0.999855
28.8,600000,652160,114,144,78593,184347,0.998268
28.9,645000,603000,112,141,78593,184347,0.998869
29,630000,617160,113,140,78593,187243,0.999894
29.1,630000,615000,115,152,81489,187243,0.999855
29.2,645000,611120,110,140,78593,183923,0.999273
29.3,630000,617640,110,124,78593,184363,0.999902
29.4,705000,540000,109,130,78593,184363,0.982739
29.5,660000,585000,113,133,81489,184363,0.996384
29.6,675000,585000,106,136,78593,184363,0.994924
29.7,585000,660000,112,138,77369,184363,0.996384
29.8,645000,600000,111,141,77369,184363,0.998695
29.9,630000,622440,111,136,77369,184363,0.999964
30,630000,613240,111,145,77369,184363,0.999818
30.1,615000,639360,110,146,77369,184363,0.999623
30.2,615000,631400,111,148,77369,187259,0.999827
30.3,630000,613760,111,151,77369,184363,0.99983
30.4,615000,636840,113,130,80265,184363,0.999696
30.5,675000,566560,104,126,77369,184363,0.992429
30.6,645000,600000,106,128,77369,184363,0.998695
30.7,660000,600000,107,130,77369,184363,0.997738
30.8,645000,600000,110,132,77369,184363,0.998695
30.9,645000,600000,108,134,75915,182336,0.998695
