Time,NewReno_1_Bps,Bbr_2_Bps,NewReno_1_PktLoss,Bbr_2_PktLoss,NewReno_1_Cwnd,Bbr_2_Cwnd,JainsFairnessIndex
18.5,675000,587120,68,82,92760,211144,0.995175
18.6,660000,582000,68,80,93244,211144,0.996071
18.7,660000,592240,70,80,93750,211144,0.997081
18.8,675000,574960,70,83,94234,211144,0.993635
18.9,660000,577240,70,83,94718,211144,0.995546
19,690000,564720,70,83,95224,211144,0.990129
19.1,660000,588520,69,82,95669,211144,0.996733
19.2,675000,575480,70,82,96152,211144,0.993706
19.3,675000,572120,71,82,96635,211144,0.993241
19.4,675000,571240,71,82,97097,211144,0.993116
19.5,690000,554840,71,83,97580,211408,0.988349
19.6,675000,575480,70,83,98042,211408,0.993706
19.7,660000,587120,73,81,98525,211408,0.996597
19.8,690000,555360,73,82,99008,211496,0.988447
19.9,675000,577240,72,82,99470,211496,0.993942
20,690000,560480,73,84,99948,211496,0.989386
20.1,690000,553960,73,85,100408,211496,0.988182
20.2,675000,572640,72,84,100848,211496,0.993314
20.3,690000,565240,72,83,101308,211496,0.990218
20.4,690000,560480,73,83,101768,211496,0.989386
20.5,675000,560480,74,84,102228,211496,0.991481
20.6,705000,550600,73,85,102688,211496,0.985104
20.7,690000,559600,74,84,103148,211920,0.989228
20.8,690000,555360,74,84,103608,211920,0.988447
20.9,690000,555720,74,84,104068,211920,0.988514
21,690000,555360,75,82,104528,211920,0.988447
21.1,705000,544080,76,84,105000,211920,0.983674
21.2,675000,580960,77,82,105437,211920,0.994425
21.3,705000,543720,77,81,105874,211920,0.983592
21.4,705000,544440,76,83,106311,211920,0.983755
21.5,690000,553960,76,81,106748,211920,0.988182
21.6,690000,555720,79,82,107204,211920,0.988514
21.7,705000,542680,78,49,107641,5792,0.983356
21.8,735000,513720,75,8,108078,5792,0.969554
21.9,1.245e+06,0,69,11,108800,5792,0.5
22,1.215e+06,45000,70,8,109579,5792,0.536986
22.1,1.245e+06,0,70,12,110358,5792,0.5
22.2,1.185e+06,60000,71,8,111078,5792,0.550503
22.3,1.245e+06,0,71,11,111816,21920,0.5
22.4,1.215e+06,30000,72,11,112554,21920,0.524676
22.5,1.215e+06,45000,74,11,113292,21920,0.536986
22.6,1.2e+06,45000,74,11,114012,24816,0.537447
22.7,1.215e+06,30000,74,12,114732,25786,0.524676
22.8,1.2e+06,45000,74,12,115452,25786,0.537447
22.9,1.2e+06,60000,75,12,116172,25010,0.549875
23,1.2e+06,45000,75,12,116870,27906,0.537447
23.1,1.185e+06,60000,77,13,117550,28847,0.550503
23.2,1.185e+06,60000,76,13,118213,28847,0.550503
23.3,1.185e+06,60000,78,13,118893,28847,0.550503
23.4,1.2e+06,60000,78,14,119573,31743,0.549875
23.5,1.17e+06,75000,79,14,120236,33227,0.56384
23.6,1.17e+06,75000,79,15,120899,33227,0.56384
23.7,1.17e+06,75000,79,15,121562,34202,0.56384
23.8,1.17e+06,90000,80,16,122225,38856,0.576471
23.9,1.155e+06,90000,81,16,122888,39057,0.577452
24,1.155e+06,90000,81,17,123523,39057,0.577452
24.1,1.14e+06,105000,81,17,124131,44105,0.59133
24.2,1.14e+06,105000,84,18,124755,45420,0.59133
24.3,1.14e+06,120000,82,19,125347,45420,0.60411
24.4,1.125e+06,120000,83,20,125955,49124,0.605467
24.5,1.125e+06,120000,83,21,126547,54788,0.605467
24.6,1.095e+06,150000,84,22,127139,57111,0.634463
24.7,1.11e+06,150000,85,24,127731,61124,0.632712
24.8,1.08e+06,165000,85,25,128307,64553,0.649293
24.9,1.065e+06,180000,87,26,128883,70623,0.66432
25,1.065e+06,180000,86,28,129443,70623,0.66432
25.1,1.05e+06,195000,88,28,130019,71566,0.679523
25.2,1.035e+06,225000,88,22,130563,80342,0.707581
25.3,1.095e+06,150000,101,26,131134,83238,0.634463
25.4,1.06084e+06,180000,116,29,131734,85216,0.664929
25.5,1.0538e+06,195000,116,30,132439,85216,0.678918
25.6,1.02576e+06,225000,114,30,133114,85216,0.70928
