Time,Bbr_1_Bps,Cubic_2_Bps,Bbr_1_PktLoss,Cubic_2_PktLoss,Bbr_1_Cwnd,Cubic_2_Cwnd,JainsFairnessIndex
15.1,525000,723080,45,80,70448,133216,0.975431
15.2,615000,623400,45,85,70144,133216,0.999954
15.3,570000,686560,47,81,72011,133216,0.991469
15.4,600000,638400,45,83,72011,133216,0.999039
15.5,570000,685160,47,78,72011,133216,0.991652
15.6,615000,623400,46,85,72011,133216,0.999954
15.7,585000,665040,48,83,72011,133216,0.995917
15.8,600000,653400,49,82,74907,133216,0.998188
15.9,615000,628520,42,85,72011,133216,0.999882
16,555000,696440,47,82,72011,133216,0.987387
16.1,615000,628520,46,85,72011,133216,0.999882
16.2,585000,665040,46,83,74907,133216,0.995917
16.3,615000,638400,42,83,72011,133216,0.999652
16.4,540000,708080,47,77,72011,133216,0.982187
16.5,630000,622000,45,85,70671,133216,0.999959
16.6,570000,674920,46,80,70671,133216,0.992947
16.7,600000,650040,46,83,70671,133216,0.9984
16.8,585000,658520,43,82,70671,133216,0.996517
16.9,570000,671560,46,83,70671,133216,0.993353
17,600000,659920,46,83,70671,133216,0.997743
17.1,585000,663640,48,84,73567,133216,0.996049
17.2,630000,618280,39,85,70671,133216,0.999912
17.3,525000,713200,45,79,70671,133216,0.977419
17.4,600000,643520,46,85,70671,133216,0.998777
17.5,570000,681440,48,81,71373,133216,0.992133
17.6,630000,616880,44,85,71373,133216,0.999889
17.7,570000,686560,45,79,71373,133216,0.991469
17.8,585000,658520,47,84,71373,133216,0.996517
17.9,600000,650040,48,83,71373,133216,0.9984
18,600000,643520,49,85,74269,133216,0.998777
18.1,615000,638400,42,85,71373,133216,0.999652
18.2,555000,686560,46,83,71373,133216,0.988896
18.3,615000,638400,46,85,71373,133216,0.999652
18.4,585000,665040,46,83,71373,133216,0.995917
18.5,585000,665040,46,81,71373,133216,0.995917
18.6,585000,659920,45,79,71373,133216,0.996391
18.7,585000,665040,47,83,71373,133216,0.995917
18.8,600000,638400,47,83,70671,133216,0.999039
18.9,600000,658520,48,84,73567,133216,0.997843
19,600000,644920,41,83,70671,133216,0.9987
19.1,540000,713200,46,79,70671,133216,0.981257
19.2,615000,622000,45,85,70671,133216,0.999968
19.3,570000,681440,47,81,70818,133216,0.992133
19.4,615000,638400,43,83,70818,133216,0.999652
19.5,555000,686560,44,79,70818,133216,0.988896
19.6,585000,665040,46,83,70818,133216,0.995917
19.7,600000,643520,47,83,70818,133216,0.998777
19.8,600000,659920,48,83,73714,133216,0.997743
19.9,585000,658520,42,84,70818,133216,0.996517
20,570000,676680,45,83,70818,133216,0.992731
20.1,615000,633280,45,85,70818,133216,0.999786
20.2,555000,686560,47,81,73714,133216,0.988896
20.3,615000,637000,41,84,70818,133216,0.999691
20.4,555000,687960,45,79,70818,133216,0.988687
20.5,615000,643520,45,85,70623,133216,0.999487
20.6,570000,680040,47,80,70623,133216,0.99231
20.7,585000,650040,9,83,5792,133216,0.997234
20.8,60000,1.0944e+06,13,59,5792,133216,0.55466
20.9,120000,943760,11,57,5792,133216,0.625128
21,165000,842320,23,79,71641,133216,0.688649
21.1,435000,804400,34,73,71641,133216,0.918415
21.2,570000,686560,37,81,71641,133216,0.991469
21.3,525000,713200,48,79,71641,133216,0.977419
21.4,630000,616880,42,85,72997,133216,0.999889
21.5,555000,702960,46,81,72997,133216,0.986355
21.6,615000,622000,47,85,72997,133216,0.999968
21.7,585000,674920,50,82,76420,133216,0.994932
21.8,630000,607000,42,87,73524,133216,0.999654
21.9,540000,717960,47,78,73524,133216,0.98038
22,615000,628520,48,85,73524,133216,0.999882
22.1,600000,653400,48,82,73524,133216,0.998188
22.2,600000,643520,49,84,73524,133216,0.998777
22.3,600000,650040,45,83,73524,133216,0.9984
22.4,585000,665040,48,83,73524,133216,0.995917
22.5,615000,631880,48,84,73524,133216,0.999817
22.6,600000,650040,48,83,76420,133216,0.9984
22.7,600000,638400,44,83,73524,133216,0.999039
22.8,570000,686560,47,79,73524,133216,0.991469
22.9,600000,638400,48,83,72969,133216,0.999039
23,600000,648640,49,83,72969,133216,0.998485
23.1,615000,633280,50,85,75865,133216,0.999786
23.2,600000,648640,44,83,72969,133216,0.998485
23.3,570000,681440,48,81,72969,133216,0.992133
23.4,630000,616880,45,85,72250,133216,0.999889
23.5,570000,680040,46,82,72312,133216,0.99231
