Time,Dctcp_1_Bps,Dctcp_2_Bps,Dctcp_1_PktLoss,Dctcp_2_PktLoss,Dctcp_1_Cwnd,Dctcp_2_Cwnd,JainsFairnessIndex
10.9,465000.0,782880.0,109.0,110.0,106233.0,141170.0,0.939064
11.0,696600.0,552600.0,86.0,112.0,106233.0,140679.0,0.986886
11.1,373880.0,862160.0,121.0,83.0,106233.0,140679.0,0.865012
11.2,664920.0,585960.0,133.0,119.0,105379.0,142127.0,0.996031
11.3,1007000.0,240000.0,131.0,119.0,106827.0,142127.0,0.7255220000000001
11.4,450000.0,797840.0,115.0,129.0,106827.0,143136.0,0.927899
11.5,645000.0,602640.0,135.0,79.0,108275.0,143136.0,0.998849
11.6,1095000.0,153600.0,121.0,68.0,109723.0,143136.0,0.637567
11.7,1245000.0,2280.0,117.0,68.0,111171.0,143136.0,0.501831
11.8,1260000.0,0.0,118.0,68.0,112619.0,143136.0,0.5
11.9,1245000.0,0.0,118.0,68.0,114067.0,143136.0,0.5
12.0,1245000.0,0.0,120.0,68.0,115515.0,143136.0,0.5
12.1,1245000.0,0.0,122.0,68.0,116963.0,143136.0,0.5
12.2,1260000.0,0.0,121.0,68.0,118411.0,143136.0,0.5
12.3,1245000.0,0.0,123.0,68.0,119859.0,143136.0,0.5
12.4,1245000.0,0.0,123.0,68.0,121307.0,143136.0,0.5
12.5,1245000.0,0.0,125.0,68.0,122755.0,143136.0,0.5
12.6,1230000.0,15000.0,128.0,68.0,124203.0,1448.0,0.512193
12.7,1230000.0,30000.0,129.0,68.0,125651.0,2896.0,0.524376
12.8,1245000.0,0.0,127.0,72.0,127099.0,5792.0,0.5
12.9,1185000.0,60000.0,129.0,76.0,128547.0,11584.0,0.550503
13.0,1140000.0,113840.0,130.0,81.0,129995.0,20272.0,0.598874
13.1,1050000.0,195000.0,136.0,96.0,131443.0,40544.0,0.679523
13.2,825000.0,420000.0,158.0,116.0,131443.0,75296.0,0.904306
13.3,1099200.0,150000.0,168.0,114.0,132891.0,81088.0,0.633968
13.4,697000.0,555000.0,126.0,151.0,132597.0,124234.0,0.9873
13.5,612400.0,634120.0,92.0,123.0,132597.0,124234.0,0.999696
13.6,359040.0,842720.0,165.0,198.0,132597.0,124234.0,0.860595
13.7,971880.0,272280.0,180.0,181.0,134045.0,124234.0,0.759769
13.8,750000.0,510000.0,142.0,200.0,133816.0,123959.0,0.964989
13.9,612160.0,461000.0,95.0,182.0,133816.0,123959.0,0.980546
14.0,961320.0,152360.0,176.0,165.0,136712.0,123959.0,0.654607
14.1,1244240.0,0.0,188.0,165.0,136712.0,123959.0,0.5
14.2,1257360.0,0.0,186.0,165.0,138160.0,123959.0,0.5
14.3,1250840.0,0.0,185.0,165.0,139608.0,123959.0,0.5
14.4,1240960.0,0.0,187.0,165.0,141056.0,123959.0,0.5
14.5,1247480.0,0.0,184.0,165.0,142504.0,123959.0,0.5
14.6,1255960.0,0.0,183.0,165.0,143952.0,123959.0,0.5
14.7,1241320.0,0.0,184.0,165.0,143952.0,123959.0,0.5
14.8,1254920.0,0.0,187.0,165.0,145400.0,123959.0,0.5
14.9,1242360.0,0.0,186.0,166.0,146848.0,1448.0,0.5
15.0,1235840.0,15000.0,186.0,168.0,148296.0,2896.0,0.512136
15.1,1214320.0,21320.0,186.0,168.0,149744.0,4344.0,0.517552
15.2,1219440.0,31560.0,190.0,165.0,151192.0,4344.0,0.525863
15.3,1181160.0,74080.0,193.0,165.0,151192.0,7240.0,0.562472
15.4,1247480.0,0.0,186.0,176.0,152640.0,14480.0,0.5
15.5,1101600.0,149960.0,182.0,184.0,154088.0,27512.0,0.633653
15.6,960160.0,285000.0,186.0,201.0,154088.0,53576.0,0.7727910000000001
15.7,753200.0,495000.0,214.0,192.0,155536.0,70952.0,0.9589659999999999
15.8,1203600.0,45000.0,184.0,237.0,155536.0,105704.0,0.537336
15.9,559400.0,690000.0,162.0,236.0,156900.0,108456.0,0.989192
16.0,619880.0,622160.0,147.0,217.0,156900.0,108456.0,0.999997
16.1,372440.0,875760.0,191.0,248.0,156900.0,109904.0,0.860141
16.2,724200.0,525280.0,140.0,246.0,156900.0,109904.0,0.975281
16.3,0.0,1245000.0,140.0,245.0,156900.0,111352.0,0.5
16.4,0.0,1245000.0,140.0,248.0,156900.0,114248.0,0.5
16.5,0.0,1260000.0,140.0,249.0,156900.0,115696.0,0.5
16.6,0.0,1245000.0,140.0,249.0,156900.0,117144.0,0.5
16.7,0.0,1245000.0,140.0,251.0,156900.0,118592.0,0.5
16.8,0.0,1245000.0,140.0,251.0,156900.0,120040.0,0.5
16.9,0.0,1245000.0,140.0,253.0,156900.0,121488.0,0.5
17.0,0.0,1260000.0,141.0,254.0,1448.0,122936.0,0.5
17.1,6520.0,1230000.0,142.0,255.0,2896.0,124384.0,0.505301
17.2,30000.0,1230000.0,144.0,256.0,5792.0,125832.0,0.524376
17.3,60000.0,1185000.0,148.0,256.0,11584.0,127280.0,0.550503
17.4,108000.0,1140000.0,157.0,256.0,21720.0,127280.0,0.593894
17.5,221960.0,1020000.0,140.0,271.0,21720.0,128728.0,0.707769
17.6,60000.0,1200000.0,164.0,262.0,41992.0,130176.0,0.549875
17.7,360000.0,885000.0,196.0,270.0,82536.0,131624.0,0.849026
17.8,795000.0,450000.0,207.0,306.0,128872.0,131624.0,0.928687
17.9,45000.0,1207680.0,237.0,269.0,156830.0,133017.0,0.53721
18.0,878400.0,372120.0,213.0,251.0,145960.0,133017.0,0.859174
18.1,507200.0,691800.0,289.0,318.0,143368.0,133017.0,0.976845
