Time,Flow1_NewReno_Bps,Flow2_Cubic_Bps,Flow3_Bbr_Bps,Flow4_Dctcp_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow3_PktLoss,Flow4_PktLoss,Flow1_Cwnd,Flow2_Cwnd,Flow3_Cwnd,Flow4_Cwnd,JainsFairnessIndex
6.4,495000.0,300000.0,255000.0,210000.0,72.0,60.0,31.0,48.0,68178.0,53583.0,53321.0,77452.0,0.893617
6.5,315000.0,225000.0,210000.0,495000.0,78.0,61.0,36.0,55.0,68178.0,50398.0,54769.0,97494.0,0.882752
6.6,480000.0,285000.0,315000.0,165000.0,79.0,63.0,29.0,49.0,69626.0,51846.0,54769.0,73032.0,0.884566
6.7,289440.0,195000.0,150000.0,615000.0,84.0,64.0,38.0,8.0,71074.0,51846.0,56217.0,70220.0,0.7469009999999999
6.8,601400.0,345000.0,300000.0,6840.0,73.0,62.0,31.0,57.0,68997.0,53294.0,52415.0,73116.0,0.687955
6.9,390000.0,225000.0,240000.0,390000.0,81.0,65.0,40.0,31.0,70445.0,53294.0,52415.0,73116.0,0.93958
7.0,420000.0,300000.0,165000.0,360000.0,80.0,64.0,35.0,44.0,71893.0,54742.0,52415.0,74564.0,0.915603
7.1,484480.0,345000.0,345000.0,75000.0,78.0,59.0,34.0,53.0,71893.0,54742.0,53863.0,74564.0,0.815852
7.2,435000.0,210000.0,90000.0,510000.0,78.0,64.0,41.0,37.0,73341.0,56190.0,55311.0,74564.0,0.772656
7.3,360000.0,315000.0,405000.0,180000.0,82.0,61.0,28.0,54.0,73341.0,56190.0,55311.0,76012.0,0.9333329999999999
7.4,495000.0,240000.0,120000.0,390000.0,82.0,68.0,45.0,32.0,74789.0,57638.0,56759.0,76012.0,0.826019
7.5,405000.0,285000.0,240000.0,315000.0,79.0,65.0,37.0,43.0,74789.0,57638.0,56759.0,76012.0,0.963766
7.6,465000.0,330000.0,315000.0,135000.0,85.0,66.0,40.0,53.0,74516.0,56542.0,53596.0,77460.0,0.875572
7.7,360000.0,210000.0,180000.0,495000.0,81.0,70.0,37.0,58.0,74516.0,56542.0,53596.0,100213.0,0.858978
7.8,450000.0,330000.0,330000.0,150000.0,92.0,68.0,29.0,50.0,75964.0,57990.0,53596.0,72222.0,0.896341
7.9,336360.0,240000.0,105000.0,562800.0,88.0,73.0,45.0,28.0,74356.0,55650.0,53596.0,72222.0,0.776285
