Time,Flow1_Bbr_Bps,Flow2_Cubic_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
19.9,605000.0,639640.0,48.0,83.33333333333333,73615.66666666667,133216.0,0.9987123333333333
20.0,600000.0,652866.6666666666,45.333333333333336,83.0,72650.33333333333,133216.0,0.9979346666666666
20.1,580000.0,664920.0,46.0,82.0,72650.33333333333,133216.0,0.9942723333333333
20.2,595000.0,650693.3333333334,47.333333333333336,82.66666666666667,72650.33333333333,133216.0,0.9961563333333334
20.3,600000.0,649453.3333333334,48.333333333333336,82.33333333333333,73849.0,133216.0,0.9981926666666667
20.4,610000.0,641346.6666666666,45.333333333333336,84.0,73849.0,133216.0,0.9985223333333334
20.5,585000.0,659920.0,44.333333333333336,81.33333333333333,72883.66666666667,133216.0,0.9931273333333334
20.6,585000.0,663453.3333333334,47.333333333333336,83.0,72883.66666666667,133216.0,0.9929973333333333
20.7,590000.0,656040.0,22.0,82.0,5792.0,133216.0,0.997151
20.8,210000.0,1002266.6666666666,12.666666666666666,57.333333333333336,5792.0,133216.0,0.7001200000000001
20.9,115000.0,876720.0,12.333333333333334,70.66666666666667,5792.0,133216.0,0.6291016666666667
21.0,135000.0,969506.6666666666,13.666666666666666,67.0,50300.0,133216.0,0.6394653333333333
21.1,390000.0,749066.6666666666,32.666666666666664,75.66666666666667,72692.33333333333,133216.0,0.907954
21.2,515000.0,738480.0,39.0,77.66666666666667,75246.66666666667,133216.0,0.967866
21.3,570000.0,673920.0,43.333333333333336,80.33333333333333,75623.66666666667,133216.0,0.9903293333333334
21.4,590000.0,659920.0,46.666666666666664,83.0,75623.66666666667,133216.0,0.9968013333333333
21.5,600000.0,650693.3333333334,50.333333333333336,83.0,78048.33333333333,133216.0,0.99537
21.6,620000.0,621880.0,46.666666666666664,85.33333333333333,77264.0,133216.0,0.999559
21.7,585000.0,666746.6666666666,48.0,82.66666666666667,76426.66666666667,133216.0,0.9910730000000001
21.8,605000.0,645573.3333333334,50.0,82.66666666666667,76426.66666666667,133216.0,0.9950566666666667
21.9,610000.0,634640.0,50.0,84.0,76426.66666666667,133216.0,0.9970276666666668
22.0,610000.0,640106.6666666666,50.0,83.33333333333333,76426.66666666667,133216.0,0.9982876666666667
22.1,620000.0,631346.6666666666,47.666666666666664,83.0,76426.66666666667,133216.0,0.9982133333333333
22.2,595000.0,648866.6666666666,49.0,84.0,76426.66666666667,133216.0,0.9979786666666667
22.3,610000.0,629640.0,49.666666666666664,85.0,76426.66666666667,133216.0,0.9991566666666666
22.4,610000.0,646813.3333333334,51.333333333333336,83.33333333333333,78357.33333333333,133216.0,0.998994
