Time,Flow1_NewReno_Bps,Flow2_Cubic_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
29.1,675000.0,573840.0,60.0,91.0,90407.0,133216.0,0.993481
29.2,645000.0,590240.0,61.0,91.0,90913.0,133216.0,0.998039
29.3,675000.0,573840.0,59.0,95.0,91386.0,133216.0,0.993481
29.4,660000.0,595360.0,59.0,95.0,91870.0,133216.0,0.997356
29.5,645000.0,595360.0,60.0,93.0,92354.0,133216.0,0.998401
29.6,645000.0,605240.0,62.0,92.0,92838.0,133216.0,0.99899
29.7,660000.0,585480.0,62.0,89.0,93322.0,133216.0,0.996433
29.8,675000.0,573840.0,63.0,93.0,93828.0,133216.0,0.993481
29.9,660000.0,590240.0,64.0,91.0,94312.0,133216.0,0.996896
30.0,675000.0,573840.0,63.0,93.0,94796.0,133216.0,0.993481
30.1,690000.0,567320.0,61.0,96.0,95280.0,133216.0,0.9905690000000001
30.2,645000.0,596760.0,63.0,95.0,95744.0,133216.0,0.998493
30.3,690000.0,552320.0,61.0,97.0,96206.0,133216.0,0.987867
30.4,660000.0,600480.0,63.0,95.0,96689.0,133216.0,0.997775
30.5,645000.0,590240.0,65.0,93.0,97151.0,133216.0,0.998039
30.6,690000.0,562200.0,65.0,96.0,97634.0,133216.0,0.989691
30.7,660000.0,585480.0,65.0,93.0,98096.0,133216.0,0.996433
30.8,660000.0,590240.0,68.0,91.0,98579.0,133216.0,0.996896
30.9,690000.0,562200.0,66.0,94.0,99041.0,133216.0,0.989691
31.0,690000.0,558840.0,64.0,93.0,99503.0,133216.0,0.98909
31.1,660000.0,578960.0,67.0,95.0,99980.0,133216.0,0.99574
31.2,690000.0,563600.0,65.0,95.0,100420.0,133216.0,0.989936
31.3,675000.0,573840.0,66.0,93.0,100880.0,133216.0,0.993481
31.4,675000.0,573840.0,65.0,95.0,101320.0,133216.0,0.993481
31.5,705000.0,547200.0,65.0,97.0,101780.0,133216.0,0.984368
31.6,660000.0,578960.0,67.0,95.0,102240.0,133216.0,0.99574
31.7,690000.0,563600.0,67.0,93.0,102700.0,133216.0,0.989936
31.8,690000.0,552320.0,68.0,95.0,103160.0,133216.0,0.987867
31.9,705000.0,547200.0,65.0,99.0,103600.0,133216.0,0.984368
32.0,660000.0,595360.0,67.0,93.0,104060.0,133216.0,0.997356
32.1,690000.0,552320.0,68.0,95.0,104520.0,133216.0,0.987867
32.2,705000.0,547200.0,69.0,95.0,104992.0,133216.0,0.984368
32.3,690000.0,552320.0,67.0,97.0,105410.0,133216.0,0.987867
32.4,675000.0,573840.0,71.0,95.0,105866.0,133216.0,0.993481
32.5,690000.0,557080.0,69.0,96.0,106284.0,133216.0,0.9887669999999998
32.6,690000.0,558840.0,69.0,93.0,106721.0,133216.0,0.98909
32.7,720000.0,530800.0,70.0,97.0,107177.0,133216.0,0.977631
32.8,675000.0,568720.0,71.0,97.0,107614.0,133216.0,0.992751
32.9,690000.0,562200.0,71.0,94.0,108051.0,133216.0,0.989691
33.0,690000.0,558840.0,71.0,95.0,108488.0,133216.0,0.98909
33.1,720000.0,525680.0,72.0,95.0,108944.0,133216.0,0.976244
33.2,705000.0,547200.0,71.0,97.0,109381.0,133216.0,0.984368
33.3,690000.0,552320.0,71.0,97.0,109818.0,133216.0,0.987867
33.4,690000.0,562200.0,72.0,94.0,110255.0,133216.0,0.989691
33.5,705000.0,537320.0,71.0,97.0,110675.0,133216.0,0.9821079999999999
