Time,NewReno_1_Bps,Cubic_2_Bps,NewReno_1_PktLoss,Cubic_2_PktLoss,NewReno_1_Cwnd,Cubic_2_Cwnd,JainsFairnessIndex
12.4,255000.0,990000.0,42.0,101.0,84205.0,111496.0,0.74155
12.5,600000.0,645000.0,60.0,86.0,84901.0,111496.0,0.998695
12.6,765000.0,495000.0,39.0,105.0,85261.0,111496.0,0.956098
12.7,105000.0,1140000.0,61.0,85.0,85597.0,111496.0,0.59133
12.8,885000.0,360000.0,60.0,85.0,86293.0,111496.0,0.849026
12.9,465000.0,780000.0,41.0,105.0,86437.0,111496.0,0.939836
13.0,405000.0,855000.0,61.0,85.0,86989.0,112944.0,0.8868779999999999
13.1,885000.0,360000.0,46.0,101.0,87511.0,112944.0,0.849026
13.2,165000.0,1080000.0,51.0,97.0,87695.0,112944.0,0.649293
13.3,735000.0,510000.0,63.0,86.0,88385.0,114392.0,0.968372
13.4,585000.0,675000.0,42.0,107.0,88592.0,114392.0,0.994924
13.5,330000.0,915000.0,62.0,86.0,89075.0,114392.0,0.819144
13.6,900000.0,345000.0,48.0,102.0,89604.0,115840.0,0.834221
13.7,150000.0,1095000.0,52.0,97.0,89765.0,115840.0,0.634463
13.8,750000.0,495000.0,63.0,88.0,90455.0,115840.0,0.9597380000000001
13.9,555000.0,705000.0,42.0,110.0,90639.0,117288.0,0.986026
14.0,360000.0,885000.0,64.0,89.0,91168.0,117288.0,0.849026
14.1,915000.0,330000.0,44.0,109.0,91608.0,117288.0,0.819144
14.2,45000.0,1200000.0,63.0,92.0,91850.0,118736.0,0.537447
14.3,915000.0,345000.0,64.0,89.0,92532.0,118736.0,0.830118
14.4,375000.0,870000.0,43.0,112.0,92576.0,120184.0,0.8635
14.5,555000.0,690000.0,65.0,91.0,93214.0,121632.0,0.988379
14.6,690000.0,555000.0,45.0,113.0,93500.0,123080.0,0.988379
14.7,255000.0,990000.0,66.0,94.0,93918.0,124528.0,0.74155
14.8,960000.0,300000.0,47.0,112.0,94402.0,124528.0,0.784698
14.9,0.0,1245000.0,67.0,95.0,94622.0,127424.0,0.5
15.0,975000.0,270000.0,64.0,99.0,95304.0,127424.0,0.757199
15.1,210000.0,1035000.0,52.0,73.0,95326.0,89776.0,0.6948760000000002
15.2,750000.0,510000.0,67.0,39.0,95998.0,89776.0,0.964989
15.3,975000.0,262880.0,56.0,83.0,96565.0,89776.0,0.7513489999999999
15.4,465000.0,780000.0,47.0,95.0,96796.0,94120.0,0.939836
15.5,525000.0,735000.0,69.0,76.0,97384.0,97016.0,0.972973
15.6,1005000.0,240000.0,48.0,97.0,97867.0,98464.0,0.7259220000000001
15.7,255000.0,990000.0,51.0,97.0,98077.0,101360.0,0.74155
15.8,735000.0,510000.0,69.0,81.0,98770.0,104256.0,0.968372
15.9,705000.0,555000.0,48.0,103.0,99043.0,105704.0,0.986026
16.0,300000.0,945000.0,70.0,84.0,99484.0,108600.0,0.788396
16.1,1020000.0,225000.0,55.0,99.0,100022.0,108600.0,0.710353
16.2,225000.0,1020000.0,56.0,102.0,100182.0,112944.0,0.710353
16.3,810000.0,435000.0,70.0,90.0,100862.0,114392.0,0.9168220000000001
16.4,540000.0,720000.0,50.0,111.0,101022.0,115840.0,0.98
16.5,480000.0,765000.0,71.0,91.0,101542.0,117288.0,0.9502070000000001
16.6,810000.0,435000.0,51.0,112.0,101882.0,117288.0,0.9168220000000001
16.7,225000.0,1020000.0,72.0,92.0,102242.0,120184.0,0.710353
16.8,1050000.0,210000.0,52.0,112.0,102742.0,120184.0,0.692308
16.9,45000.0,1200000.0,70.0,67.0,102942.0,83984.0,0.537447
17.0,1020000.0,225000.0,66.0,52.0,103582.0,83984.0,0.710353
17.1,1005000.0,240000.0,51.0,92.0,104102.0,83984.0,0.7259220000000001
17.2,405000.0,840000.0,53.0,73.0,104382.0,59368.0,0.891203
17.3,720000.0,531640.0,73.0,59.0,105051.0,60816.0,0.9778540000000001
17.4,1065000.0,187760.0,66.0,65.0,105659.0,60816.0,0.670986
17.5,810000.0,435000.0,53.0,79.0,106039.0,62264.0,0.9168220000000001
17.6,600000.0,645000.0,55.0,80.0,106438.0,65160.0,0.998695
17.7,765000.0,495000.0,74.0,59.0,107103.0,65160.0,0.956098
17.8,1080000.0,165000.0,55.0,80.0,107597.0,65160.0,0.649293
17.9,585000.0,660000.0,54.0,81.0,107958.0,66608.0,0.996384
18.0,570000.0,675000.0,72.0,65.0,108490.0,68056.0,0.992937
