Time,Flow1_Bbr_Bps,Flow2_Cubic_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
19.4,300000,943400,27,117,47143,133216,0.788795
19.5,300000,950280,29,114,47143,133216,0.787084
19.6,315000,928400,29,118,46473,133216,0.804266
19.7,315000,933160,29,117,46473,133216,0.803033
19.8,330000,923640,28,118,46473,133216,0.816838
19.9,315000,928400,26,118,46473,133216,0.804266
20,300000,949920,27,114,45364,133216,0.787173
20.1,315000,938640,27,118,45364,133216,0.801623
20.2,285000,955040,28,118,45364,133216,0.774015
20.3,330000,918160,28,118,45364,133216,0.818297
20.4,300000,953640,26,117,45364,133216,0.786255
20.5,300000,949920,26,115,45364,133216,0.787173
20.6,300000,940040,27,120,45364,133216,0.789637
20.7,300000,955040,28,118,45364,133216,0.785911
20.8,315000,928400,28,118,45364,133216,0.804266
20.9,315000,928400,27,120,45364,133216,0.804266
21,315000,938640,25,116,45364,133216,0.801623
21.1,270000,976560,28,118,45364,133216,0.756847
21.2,315000,928400,28,118,45364,133216,0.804266
21.3,315000,944800,28,116,45364,133216,0.800051
21.4,315000,933520,27,118,45364,133216,0.80294
21.5,315000,928400,25,116,44877,133216,0.804266
21.6,270000,971440,27,118,44877,133216,0.758007
21.7,300000,953640,28,117,44877,133216,0.786255
21.8,315000,934920,26,116,44877,133216,0.802579
21.9,285000,955040,28,118,44877,133216,0.774015
22,330000,927000,24,117,44877,133216,0.815948
22.1,255000,992960,27,117,44877,133216,0.740919
22.2,315000,928400,27,117,44877,133216,0.804266
22.3,300000,950280,27,118,44877,133216,0.787084
22.4,300000,944800,28,118,47773,133216,0.788445
22.5,330000,916760,23,119,44877,133216,0.818672
22.6,240000,1.01484e+06,28,116,44877,133216,0.723965
22.7,315000,928400,11,118,5792,133216,0.804266
22.8,120000,1.13232e+06,7,110,5792,133216,0.6048
22.9,60000,1.18048e+06,7,110,5792,133216,0.550696
23,60000,1.19036e+06,6,111,82515,133216,0.550277
23.1,75000,1.1692e+06,23,119,81877,133216,0.563884
23.2,255000,992960,27,117,79666,133216,0.740919
23.3,300000,955040,32,117,83673,133216,0.785911
23.4,330000,913400,31,118,80777,133216,0.819574
23.5,360000,885360,26,118,90283,133216,0.848925
23.6,285000,970040,31,119,90736,133216,0.770457
23.7,330000,913400,34,118,90736,133216,0.819574
23.8,360000,885360,34,118,90736,133216,0.848925
23.9,360000,890480,34,120,91455,133216,0.847484
24,360000,885360,35,120,91455,133216,0.848925
24.1,375000,880240,35,118,91455,133216,0.860578
24.2,360000,885360,35,118,97247,133216,0.848925
24.3,375000,863840,42,120,97874,133216,0.865273
24.4,405000,847080,37,119,96736,133216,0.889155
24.5,375000,872320,38,60,57920,92672,0.862835
24.6,780000,463920,14,85,57995,92672,0.939349
24.7,225000,1.022e+06,26,77,53627,97016,0.709979
24.8,345000,900000,31,74,53627,98464,0.834221
24.9,405000,840000,34,76,57919,101360,0.891203
25,420000,825000,32,78,55023,102808,0.904306
25.1,390000,870000,34,78,56488,105704,0.873267
25.2,420000,825000,36,80,56488,107152,0.904306
25.3,420000,825000,36,83,56488,110048,0.904306
25.4,405000,840000,40,82,59384,111496,0.891203
25.5,435000,825000,32,86,56488,112944,0.912571
25.6,360000,885000,38,85,56488,115840,0.849026
25.7,420000,825000,37,87,56488,117288,0.904306
25.8,405000,840000,36,90,56488,118736,0.891203
25.9,360000,885000,41,88,59384,120184,0.849026
26,435000,825000,34,90,56488,121632,0.912571
26.1,345000,900000,38,91,56488,123080,0.834221
26.2,405000,840000,38,92,56488,124528,0.891203
26.3,390000,855000,37,93,56488,124528,0.87758
26.4,360000,900000,39,94,59384,125976,0.844828
26.5,405000,840000,35,93,56488,127424,0.891203
26.6,345000,900000,36,93,54611,127424,0.834221
26.7,375000,870000,36,94,54611,128872,0.8635
26.8,360000,885000,36,96,54611,130320,0.849026
26.9,360000,900000,38,96,57507,130320,0.844828
27,390000,855000,33,100,54611,131768,0.87758
27.1,300000,945000,36,119,54611,131768,0.788396
27.2,375000,868960,35,120,51200,131768,0.863798
27.3,330000,927880,33,121,51200,131768,0.815716
27.4,315000,927000,36,118,51200,133216,0.804631
27.5,390000,859080,31,121,51200,133216,0.876401
27.6,285000,960160,34,121,51200,133216,0.772791
27.7,330000,927000,37,118,51200,133216,0.815948
27.8,375000,874080,33,122,51200,133216,0.862332
27.9,300000,945160,36,121,54096,133216,0.788356
28,360000,883960,32,120,51200,133216,0.84932
28.1,315000,928760,34,121,51200,133216,0.804173
28.2,345000,905480,32,120,46778,133216,0.832713
28.3,360000,897000,29,123,46778,133216,0.845661
28.4,270000,975160,34,120,49674,133216,0.757163
28.5,345000,902120,29,121,46778,133216,0.833637
28.6,285000,960160,31,121,46778,133216,0.772791
28.7,315000,932120,33,120,46778,133216,0.803301
28.8,315000,928760,31,121,46004,133216,0.804173
28.9,315000,943400,33,120,48900,133216,0.800407
29,345000,902120,27,121,46004,133216,0.833637
29.1,255000,991920,31,121,46004,133216,0.741141
29.2,315000,933520,32,119,46004,133216,0.80294
29.3,330000,912000,30,121,46004,133216,0.819951
29.4,285000,965280,31,121,46004,133216,0.771577
29.5,330000,917120,29,121,46004,133216,0.818575
29.6,270000,976560,31,119,46004,133216,0.756847
29.7,315000,932120,30,120,44434,133216,0.803301
29.8,315000,928760,30,121,44434,133216,0.804173
29.9,285000,970040,29,120,43397,133216,0.770457
30,300000,950280,27,117,43397,133216,0.787084
30.1,270000,981680,29,119,43397,133216,0.755696
30.2,300000,938640,29,121,43397,133216,0.789989
30.3,300000,943760,29,121,43397,133216,0.788705
30.4,285000,970040,28,120,43397,133216,0.770457
30.5,300000,945160,27,119,43397,133216,0.788356
30.6,270000,986800,28,121,43397,133216,0.754555
30.7,285000,960160,30,119,43397,133216,0.772791
30.8,300000,938640,29,119,43397,133216,0.789989
30.9,285000,965280,29,121,43397,133216,0.771577
31,315000,933520,26,119,41705,133216,0.80294
31.1,255000,991920,28,121,41705,133216,0.741141
