Time,NewReno_1_Bps,Cubic_2_Bps,NewReno_1_PktLoss,Cubic_2_PktLoss,NewReno_1_Cwnd,Cubic_2_Cwnd,JainsFairnessIndex
19.8,690000,557440,65,91,100887,133216,0.988834
19.9,690000,553360,65,91,101347,133216,0.988067
20,675000,573840,67,93,101807,133216,0.993481
20.1,705000,547200,66,93,102267,133216,0.984368
20.2,690000,563600,64,93,102707,133216,0.989936
20.3,675000,568720,66,93,103167,133216,0.992751
20.4,690000,563600,66,93,103627,133216,0.989936
20.5,690000,547200,66,95,104087,133216,0.986853
20.6,675000,573840,68,93,104547,133216,0.993481
20.7,720000,536960,66,95,104999,133216,0.979235
20.8,660000,588840,68,92,105436,133216,0.996764
20.9,690000,548600,69,93,105873,133216,0.987135
21,705000,547200,68,93,106310,133216,0.984368
21.1,705000,547200,69,95,106766,133216,0.984368
21.2,675000,563600,71,93,107203,133216,0.991976
21.3,705000,547200,70,93,107640,133216,0.984368
21.4,705000,536960,69,91,108077,133216,0.982022
21.5,705000,547200,68,93,108514,133216,0.984368
21.6,690000,562200,71,94,108970,133216,0.989691
21.7,705000,548600,70,93,109407,133216,0.984673
21.8,720000,525680,68,95,109844,133216,0.976244
21.9,690000,551960,71,92,110300,133216,0.987797
22,705000,547200,70,94,110717,133216,0.984368
22.1,690000,558840,74,93,111167,133216,0.98909
22.2,705000,536960,74,93,111581,133216,0.982022
22.3,720000,530800,72,95,111995,133216,0.977631
22.4,705000,536960,73,93,112427,133216,0.982022
22.5,705000,547200,74,93,112859,133216,0.984368
22.6,705000,547200,74,93,113273,133216,0.984368
22.7,705000,542080,75,93,113705,133216,0.983219
22.8,720000,530800,75,95,114137,133216,0.977631
22.9,705000,536960,75,93,114551,133216,0.982022
23,720000,535560,75,94,114983,133216,0.978877
23.1,735000,514040,74,95,115415,133216,0.969655
23.2,705000,536960,76,48,115847,92672,0.982022
23.3,810000,441000,50,10,84504,92672,0.91996
23.4,740720,11640,38,63,56657,92672,0.515711
23.5,465000,796960,45,20,57342,92672,0.935282
23.6,990000,255000,34,57,58312,95568,0.74155
23.7,525000,720000,39,45,59012,98464,0.976056
23.8,795000,450000,35,57,59852,101360,0.928687
23.9,630000,615000,37,55,60602,102808,0.999855
24,645000,615000,41,54,61384,105704,0.999433
24.1,660000,585000,41,55,62119,108600,0.996384
24.2,645000,600000,43,56,62845,110048,0.998695
