Time,NewReno_1_Bps,NewReno_2_Bps,NewReno_1_PktLoss,NewReno_2_PktLoss,NewReno_1_Cwnd,NewReno_2_Cwnd,JainsFairnessIndex
41.2,870000,390000,75,46,100959,80446,0.873267
41.3,855000,390000,77,46,101539,80779,0.87758
41.4,885000,360000,76,49,102119,81104,0.849026
41.5,840000,405000,78,48,102699,81429,0.891203
41.6,870000,390000,77,48,103259,81754,0.873267
41.7,855000,390000,78,48,103839,82079,0.87758
41.8,840000,405000,79,47,104399,82404,0.891203
41.9,870000,375000,79,49,104972,82729,0.8635
42,840000,405000,79,48,105504,83054,0.891203
42.1,855000,405000,81,47,106055,83379,0.886878
42.2,855000,390000,80,47,106587,83704,0.87758
42.3,840000,405000,82,47,107138,84023,0.891203
42.4,870000,375000,83,48,107689,84335,0.8635
42.5,870000,390000,81,48,108221,84647,0.873267
42.6,855000,390000,81,50,108753,84983,0.87758
42.7,855000,390000,82,50,109304,85295,0.87758
42.8,855000,390000,81,51,109836,85607,0.87758
42.9,840000,405000,84,50,110386,85919,0.891203
43,870000,390000,82,50,110890,86231,0.873267
43.1,855000,390000,83,50,111412,86543,0.87758
43.2,855000,390000,83,50,111916,86855,0.87758
43.3,855000,390000,84,51,112438,87167,0.87758
43.4,855000,405000,83,50,112942,87475,0.886878
43.5,855000,390000,85,52,113464,87797,0.87758
43.6,825000,420000,86,50,113968,88096,0.904306
43.7,870000,375000,87,52,114490,88395,0.8635
43.8,855000,390000,86,54,114994,88717,0.87758
43.9,840000,420000,86,52,115498,89016,0.9
44,855000,390000,86,52,116002,89315,0.87758
44.1,855000,390000,87,52,116522,89614,0.87758
44.2,855000,390000,88,53,117015,89913,0.87758
44.3,870000,390000,87,53,117491,90212,0.873267
44.4,840000,405000,87,54,117967,90534,0.891203
44.5,855000,390000,88,54,118460,90833,0.87758
44.6,825000,420000,90,52,118936,91132,0.904306
44.7,855000,390000,89,55,119412,91442,0.87758
44.8,855000,405000,90,54,119905,91728,0.886878
44.9,855000,390000,90,54,120381,92014,0.87758
45,840000,405000,90,53,120857,92300,0.891203
45.1,840000,405000,90,54,121333,92608,0.891203
45.2,870000,390000,91,55,121826,92894,0.873267
45.3,840000,405000,91,54,122302,93180,0.891203
45.4,855000,390000,90,56,122778,93488,0.87758
45.5,840000,405000,93,55,123271,93774,0.891203
45.6,840000,405000,93,56,123723,94082,0.891203
45.7,870000,390000,93,57,124187,94368,0.873267
45.8,825000,420000,95,55,124635,94654,0.904306
45.9,840000,405000,95,56,125083,94962,0.891203
46,855000,390000,94,56,125531,95248,0.87758
46.1,870000,390000,93,56,125979,95524,0.873267
46.2,840000,405000,95,56,126443,95797,0.891203
46.3,855000,390000,94,58,126891,96091,0.87758
46.4,840000,405000,92,57,127323,96364,0.891203
46.5,840000,405000,95,58,127787,96658,0.891203
46.6,840000,420000,97,56,128251,96931,0.9
46.7,855000,390000,94,59,128683,97225,0.87758
46.8,840000,405000,97,58,129147,97498,0.891203
46.9,825000,420000,96,58,129579,97792,0.904306
47,870000,390000,96,58,130043,98065,0.873267
47.1,825000,420000,98,56,130491,98338,0.904306
47.2,855000,390000,105,59,130939,98632,0.87758
47.3,860440,390000,119,59,131381,98905,0.876009
47.4,820480,420000,128,59,131891,99199,0.905611
47.5,880960,375000,93,60,98895,99472,0.860374
47.6,729920,510000,27,51,63788,94120,0.969501
47.7,668880,570000,55,31,64300,47784,0.99367
47.8,900000,351600,64,30,65388,47784,0.838938
47.9,975000,268720,53,29,66230,48171,0.756153
48,1.02e+06,225000,52,34,67253,48601,0.710353
48.1,870000,390000,61,34,68256,49151,0.873267
48.2,915000,330000,62,31,69186,49529,0.819144
48.3,990000,255000,55,34,70051,49949,0.74155
48.4,945000,300000,59,32,71008,50318,0.788396
48.5,945000,300000,62,37,71965,50810,0.788396
48.6,885000,375000,66,34,72845,51259,0.85923
48.7,945000,300000,63,32,73685,51619,0.788396
48.8,975000,270000,61,30,74553,51939,0.757199
48.9,990000,255000,58,38,75402,52419,0.74155
49,915000,345000,63,39,76293,52887,0.830118
49.1,900000,345000,68,36,77157,53277,0.834221
49.2,945000,300000,65,37,77956,53667,0.788396
49.3,915000,330000,65,33,78736,54012,0.819144
49.4,960000,285000,65,34,79568,54392,0.772829
49.5,960000,300000,64,34,80374,54772,0.784698
49.6,975000,270000,64,41,81185,55227,0.757199
49.7,900000,345000,66,40,81960,55634,0.834221
49.8,885000,360000,72,38,82760,56041,0.849026
49.9,945000,315000,71,35,83535,56374,0.8
50,930000,315000,70,37,84269,56778,0.803851
50.1,930000,315000,70,36,85013,57138,0.803851
50.2,915000,330000,70,32,85733,57462,0.819144
50.3,975000,270000,67,36,86477,57858,0.757199
50.4,960000,300000,68,37,87245,58218,0.784698
50.5,930000,315000,68,38,87963,58604,0.803851
50.6,945000,300000,68,42,88676,59024,0.788396
50.7,915000,330000,71,43,89412,59409,0.819144
50.8,960000,300000,72,45,90148,59794,0.784698
50.9,900000,345000,74,44,90861,60172,0.834221
51,915000,330000,74,42,91535,60512,0.819144
51.1,915000,330000,77,43,92239,60886,0.819144
51.2,930000,315000,78,42,92921,61226,0.803851
51.3,945000,315000,77,43,93603,61600,0.8
51.4,900000,345000,78,42,94263,61965,0.834221
51.5,945000,300000,77,45,94945,62328,0.788396
51.6,915000,330000,79,43,95613,62658,0.819144
51.7,915000,345000,80,42,96264,63021,0.830118
51.8,945000,300000,77,42,96894,63351,0.788396
51.9,900000,345000,82,41,97566,63709,0.834221
52,945000,300000,79,42,98196,64029,0.788396
52.1,900000,345000,82,41,98847,64381,0.834221
52.2,945000,315000,81,42,99498,64733,0.8
52.3,900000,345000,82,41,100115,65085,0.834221
52.4,945000,300000,81,46,100735,65469,0.788396
52.5,900000,345000,81,43,101335,65781,0.834221
52.6,945000,315000,81,44,101955,66122,0.8
52.7,915000,330000,82,44,102575,66463,0.819144
52.8,915000,330000,82,45,103175,66804,0.819144
52.9,915000,330000,83,45,103795,67145,0.819144
53,930000,315000,84,46,104415,67486,0.803851
53.1,900000,360000,86,44,105026,67821,0.844828
53.2,945000,300000,81,47,105577,68151,0.788396
53.3,900000,345000,84,46,106166,68481,0.834221
53.4,915000,330000,83,46,106736,68811,0.819144
53.5,930000,330000,84,46,107325,69141,0.815157
53.6,885000,360000,85,44,107895,69471,0.849026
53.7,915000,330000,86,45,108484,69801,0.819144
53.8,900000,345000,87,44,109054,70123,0.834221
53.9,930000,315000,87,45,109643,70442,0.803851
54,915000,345000,87,44,110213,70761,0.830118
54.1,915000,330000,88,47,110779,71109,0.819144
54.2,900000,345000,88,46,111319,71428,0.834221
54.3,915000,330000,88,48,111859,71776,0.819144
54.4,915000,345000,89,47,112417,72095,0.830118
54.5,930000,315000,88,49,112957,72411,0.803851
54.6,915000,330000,87,49,113497,72719,0.819144
54.7,870000,375000,89,46,114037,73027,0.8635
54.8,915000,330000,91,46,114595,73335,0.819144
54.9,900000,360000,91,46,115135,73671,0.844828
55,915000,330000,92,49,115693,74007,0.819144
55.1,915000,330000,92,49,116233,74315,0.819144
55.2,900000,345000,92,50,116757,74651,0.834221
55.3,930000,330000,90,50,117267,74957,0.815157
55.4,885000,360000,92,48,117777,75254,0.849026
55.5,915000,330000,93,49,118304,75551,0.819144
55.6,900000,345000,92,48,118797,75848,0.834221
