Time,Flow1_NewReno_Bps,Flow2_Cubic_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
17.9,585000,665040,98,106,131232,133216,0.995917
18,667080,583720,110,101,131622,133216,0.995578
18.1,620600,623400,110,104,131997,133216,0.999995
18.2,719880,530800,93,120,132357,133216,0.977655
18.3,515800,723080,102,113,132762,133216,0.972769
18.4,596400,650040,110,104,133227,133216,0.998151
18.5,611760,643520,104,110,133587,133216,0.99936
18.6,654800,590240,98,116,133977,133216,0.997318
18.7,520560,734720,116,98,134457,133216,0.971716
18.8,638400,595360,116,100,134877,133216,0.998785
18.9,735760,525680,110,104,135327,133216,0.973013
19,563600,681440,110,104,135702,133216,0.991121
19.1,671200,578960,114,100,136182,133216,0.994586
19.2,626760,611760,111,104,136572,133216,0.999853
19.3,720760,530800,94,120,136932,133216,0.977482
19.4,530800,723080,102,113,137337,133216,0.977025
19.5,596400,650040,110,104,137802,133216,0.998151
19.6,595360,643520,106,108,138162,133216,0.998491
19.7,671200,573840,96,118,138537,133216,0.993922
19.8,520560,739480,116,99,139032,133216,0.970699
19.9,638400,607000,116,98,139452,133216,0.999365
